直播,#genre#
CCTV5,http://124.116.170.138:8081/rtp/239.112.205.222:5140
CCTV5+,http://124.116.170.138:8081/rtp/239.111.205.13:5140
CCTV6,http://124.116.170.138:8081/rtp/239.109.205.84:8608
CCTV6,http://124.116.170.138:8081/rtp/239.112.205.223:5140
CCTV7,http://124.116.170.138:8081/rtp/239.110.205.7:9774
CCTV7,http://124.116.170.138:8081/rtp/239.109.205.216:9702
CCTV7,http://124.116.170.138:8081/rtp/239.112.205.83:5140
CCTV8,http://124.116.170.138:8081/rtp/239.109.205.90:8656
CCTV8,http://124.116.170.138:8081/rtp/239.112.205.224:5140
CCTV9,http://124.116.170.138:8081/rtp/239.110.205.8:9778
CCTV9,http://124.116.170.138:8081/rtp/239.112.205.85:5140
CCTV10,http://124.116.170.138:8081/rtp/239.110.205.9:9782
CCTV10,http://124.116.170.138:8081/rtp/239.112.205.86:5140
CCTV11,http://124.116.170.138:8081/rtp/239.111.205.11:5140
CCTV11,http://124.116.170.138:8081/rtp/239.109.205.102:8752
CCTV11,http://124.116.170.138:8081/rtp/239.112.205.213:5140
CCTV12,http://124.116.170.138:8081/rtp/239.112.205.88:5140
CCTV12,http://124.116.170.138:8081/rtp/239.110.205.10:9786
CCTV13,http://124.116.170.138:8081/rtp/239.111.205.53:5140
CCTV14,http://124.116.170.138:8081/rtp/239.110.205.20:9826
CCTV14,http://124.116.170.138:8081/rtp/239.112.205.91:5140
CCTV15,http://124.116.170.138:8081/rtp/239.112.205.214:5140
CCTV15,http://124.116.170.138:8081/rtp/239.109.205.103:8760
CCTV16,http://124.116.170.138:8081/rtp/239.111.205.133:5140
CCTV17,http://124.116.170.138:8081/rtp/239.112.205.211:5140
CCTV17,http://124.116.170.138:8081/rtp/239.109.205.88:8640
重庆卫视,http://124.116.170.138:8081/rtp/239.112.205.179:5140
重庆卫视,http://124.116.170.138:8081/rtp/239.109.205.70:8496
江苏卫视,http://124.116.170.138:8081/rtp/239.112.205.63:5140
江苏卫视,http://124.116.170.138:8081/rtp/239.109.205.119:8368
浙江卫视,http://124.116.170.138:8081/rtp/239.109.205.120:8896
浙江卫视,http://124.116.170.138:8081/rtp/239.112.205.64:5140
东方卫视,http://124.116.170.138:8081/rtp/239.112.205.61:5140
东方卫视,http://124.116.170.138:8081/rtp/239.109.205.121:8904
深圳卫视,http://124.116.170.138:8081/rtp/239.109.205.189:9602
深圳卫视,http://124.116.170.138:8081/rtp/239.109.205.163:9002
深圳卫视,http://124.116.170.138:8081/rtp/239.112.205.67:5140
北京卫视,http://124.116.170.138:8081/rtp/239.112.205.65:5140
北京卫视,http://124.116.170.138:8081/rtp/239.109.205.162:8898
山东卫视,http://124.116.170.138:8081/rtp/239.112.205.70:5140
山东卫视,http://124.116.170.138:8081/rtp/239.109.205.191:9606
天津卫视,http://124.116.170.138:8081/rtp/239.110.205.23:9838
天津卫视,http://124.116.170.138:8081/rtp/239.112.205.74:5140
贵州卫视,http://124.116.170.138:8081/rtp/239.109.205.139:9024
贵州卫视,http://124.116.170.138:8081/rtp/239.112.205.178:5140
四川卫视,http://124.116.170.138:8081/rtp/239.112.205.184:5140
四川卫视,http://124.116.170.138:8081/rtp/239.110.205.18:9818
云南卫视,http://124.116.170.138:8081/rtp/239.111.205.106:5140
云南卫视,http://124.116.170.138:8081/rtp/239.109.205.215:9216
广西卫视,http://124.116.170.138:8081/rtp/239.111.205.14:5140
黑龙江卫视,http://124.116.170.138:8081/rtp/239.109.205.190:9604
黑龙江卫视,http://124.116.170.138:8081/rtp/239.112.205.68:5140
安徽卫视,http://124.116.170.138:8081/rtp/239.110.205.11:9790
安徽卫视,http://124.116.170.138:8081/rtp/239.112.205.72:5140
山西卫视,http://124.116.170.138:8081/rtp/239.111.205.39:5140
江西卫视,http://124.116.170.138:8081/rtp/239.111.205.16:5140
江西卫视,http://124.116.170.138:8081/rtp/239.109.205.96:8704
湖北卫视,http://124.116.170.138:8081/rtp/239.109.205.165:9006
湖北卫视,http://124.116.170.138:8081/rtp/239.112.205.69:5140
陕西卫视,http://124.116.170.138:8081/rtp/239.111.205.35:5140
东南卫视,http://124.116.170.138:8081/rtp/239.109.205.177:9626
东南卫视,http://124.116.170.138:8081/rtp/239.112.205.182:5140
吉林卫视,http://124.116.170.138:8081/rtp/239.109.205.115:8856
吉林卫视,http://124.116.170.138:8081/rtp/239.112.205.183:5140
辽宁卫视,http://124.116.170.138:8081/rtp/239.110.205.12:9794
辽宁卫视,http://124.116.170.138:8081/rtp/239.112.205.73:5140
湖南卫视,http://124.116.170.138:8081/rtp/239.112.205.62:5140
广东卫视,http://124.116.170.138:8081/rtp/239.109.205.188:9610
广东卫视,http://124.116.170.138:8081/rtp/239.112.205.66:5140
河南卫视,http://124.116.170.138:8081/rtp/239.109.205.140:9026
河南卫视,http://124.116.170.138:8081/rtp/239.112.205.180:5140
河北卫视,http://124.116.170.138:8081/rtp/239.112.205.200:5140
河北卫视,http://124.116.170.138:8081/rtp/239.109.205.158:9106
宁夏卫视,http://124.116.170.138:8081/rtp/239.111.205.61:5140
宁夏卫视,http://124.116.170.138:8081/rtp/239.110.205.93:7904
宁夏卫视,http://124.116.170.138:8081/rtp/239.110.205.94:7900
甘肃卫视,http://124.116.170.138:8081/rtp/239.111.205.88:5140
青海卫视,http://124.116.170.138:8081/rtp/239.111.205.105:5140
青海卫视,http://124.116.170.138:8081/rtp/239.109.205.77:8552
新疆卫视,http://124.116.170.138:8081/rtp/239.111.205.59:5140
新疆卫视,http://124.116.170.138:8081/rtp/239.110.205.95:7896
西藏卫视,http://124.116.170.138:8081/rtp/239.111.205.58:5140
北京卫视4K,http://124.116.170.138:8081/rtp/239.109.205.5:9144
北京卫视4K,http://124.116.170.138:8081/rtp/239.111.205.51:5140
东方卫视4K,http://124.116.170.138:8081/rtp/239.111.205.67:5140
广东卫视4K,http://124.116.170.138:8081/rtp/239.110.205.36:9850
广东卫视4K,http://124.116.170.138:8081/rtp/239.111.205.103:5140
深圳卫视4K,http://124.116.170.138:8081/rtp/239.109.205.195:9642
深圳卫视4K,http://124.116.170.138:8081/rtp/239.111.205.104:5140
湖南卫视4K,http://124.116.170.138:8081/rtp/239.111.205.63:5140
湖南卫视4K,http://124.116.170.138:8081/rtp/239.110.205.91:7912
山东卫视4K,http://124.116.170.138:8081/rtp/239.110.205.6:9770
山东卫视4K,http://124.116.170.138:8081/rtp/239.111.205.66:5140
四川卫视4K,http://124.116.170.138:8081/rtp/239.110.205.90:7916
四川卫视4K,http://124.116.170.138:8081/rtp/239.111.205.62:5140
浙江卫视4K,http://124.116.170.138:8081/rtp/239.111.205.65:5140
浙江卫视4K,http://124.116.170.138:8081/rtp/239.109.205.104:8768
江苏卫视4K,http://124.116.170.138:8081/rtp/239.109.205.97:8712
江苏卫视4K,http://124.116.170.138:8081/rtp/239.111.205.64:5140



CCTV1,http://iptv.zhangliang.cc:8012/udp/225.0.4.74:7980
CCTV2,http://iptv.zhangliang.cc:8012/udp/225.0.4.132:7980
CCTV3,http://iptv.zhangliang.cc:8012/udp/225.0.4.142:7980
CCTV4,http://iptv.zhangliang.cc:8012/udp/225.0.4.176:7980
CCTV5,http://iptv.zhangliang.cc:8012/udp/225.0.4.143:7980
CCTV5+,http://iptv.zhangliang.cc:8012/udp/225.0.4.73:7980
CCTV6,http://iptv.zhangliang.cc:8012/udp/225.0.4.144:7980
CCTV7,http://iptv.zhangliang.cc:8012/udp/225.0.4.127:7980
CCTV8,http://iptv.zhangliang.cc:8012/udp/225.0.4.137:7980
CCTV9,http://iptv.zhangliang.cc:8012/udp/225.0.4.131:7980
CCTV10,http://iptv.zhangliang.cc:8012/udp/225.0.4.130:7980
CCTV11,http://iptv.zhangliang.cc:8012/udp/225.0.4.218:7980
CCTV12,http://iptv.zhangliang.cc:8012/udp/225.0.4.129:7980
CCTV13,http://iptv.zhangliang.cc:8012/udp/225.0.4.219:7980
CCTV14,http://iptv.zhangliang.cc:8012/udp/225.0.4.128:7980
CCTV15,http://iptv.zhangliang.cc:8012/udp/225.0.4.220:7980
江苏卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.79:7980
浙江卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.81:7980
东方卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.80:7980
深圳卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.202:7980
北京卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.78:7980
山东卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.199:7980
天津卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.82:7980
贵州卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.175:7980
四川卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.204:7980
黑龙江卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.201:7980
安徽卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.133:7980
江西卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.203:7980
湖北卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.217:7980
东南卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.200:7980
辽宁卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.98:7980
湖南卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.75:7980
广东卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.84:7980
河北卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.174:7980
甘肃卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.181:7980
新疆卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.60:7980
西藏卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.67:7980
重庆卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.187:7980
北京卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.122:7980
东方卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.103:7980
广东卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.102:7980
深圳卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.101:7980
湖南卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.107:7980
山东卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.106:7980
四川卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.108:7980
浙江卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.105:7980
江苏卫视,http://iptv.zhangliang.cc:8012/udp/225.0.4.104:7980


CCTV1,http://vault.iamued.com:4022/rtp/239.3.1.129:8008
CCTV2,http://vault.iamued.com:4022/rtp/239.3.1.60:8084
CCTV3,http://vault.iamued.com:4022/rtp/239.3.1.172:8001
CCTV4,http://vault.iamued.com:4022/rtp/239.3.1.105:8092
CCTV4,http://vault.iamued.com:4022/rtp/239.3.1.213:4220
CCTV4,http://vault.iamued.com:4022/rtp/239.3.1.214:4220
CCTV5,http://vault.iamued.com:4022/rtp/239.3.1.173:8001
CCTV5+,http://vault.iamued.com:4022/rtp/239.3.1.130:8004
CCTV6,http://vault.iamued.com:4022/rtp/239.3.1.174:8001
CCTV7,http://vault.iamued.com:4022/rtp/239.3.1.61:8104
CCTV8,http://vault.iamued.com:4022/rtp/239.3.1.175:8001
CCTV9,http://vault.iamued.com:4022/rtp/239.3.1.62:8112
CCTV10,http://vault.iamued.com:4022/rtp/239.3.1.63:8116
CCTV11,http://vault.iamued.com:4022/rtp/239.3.1.152:8120
CCTV12,http://vault.iamued.com:4022/rtp/239.3.1.64:8124
CCTV13,http://vault.iamued.com:4022/rtp/239.3.1.124:8128
CCTV14,http://vault.iamued.com:4022/rtp/239.3.1.65:8132
CCTV15,http://vault.iamued.com:4022/rtp/239.3.1.153:8136
CCTV16,http://vault.iamued.com:4022/rtp/239.3.1.184:8001
CCTV17,http://vault.iamued.com:4022/rtp/239.3.1.151:8144
CCTV4K,http://vault.iamued.com:4022/rtp/239.3.1.245:2000

北京卫视,http://vault.iamued.com:4022/rtp/239.3.1.118:8001
北京新闻,http://vault.iamued.com:4022/rtp/239.3.1.159:8000
北京影视,http://vault.iamued.com:4022/rtp/239.3.1.158:8000
北京文艺,http://vault.iamued.com:4022/rtp/239.3.1.242:8000
北京财经,http://vault.iamued.com:4022/rtp/239.3.1.116:8000
北京生活,http://vault.iamued.com:4022/rtp/239.3.1.117:8000
北京纪实科教,http://vault.iamued.com:4022/rtp/239.3.1.115:8000
北京卡酷少儿,http://vault.iamued.com:4022/rtp/239.3.1.189:8000
北京体育休闲,http://vault.iamued.com:4022/rtp/239.3.1.243:8000
北京国际频道,http://vault.iamued.com:4022/rtp/239.3.1.235:8000

深圳卫视,http://vault.iamued.com:4022/rtp/239.3.1.202:2000
广东卫视,http://vault.iamued.com:4022/rtp/239.3.1.203:2000
湖南卫视,http://vault.iamued.com:4022/rtp/239.3.1.132:8012
东方卫视,http://vault.iamued.com:4022/rtp/239.3.1.136:8032
浙江卫视,http://vault.iamued.com:4022/rtp/239.3.1.137:8036
江苏卫视,http://vault.iamued.com:4022/rtp/239.3.1.135:8028
安徽卫视,http://vault.iamued.com:4022/rtp/239.3.1.211:8064
天津卫视,http://vault.iamued.com:4022/rtp/239.3.1.141:1234
重庆卫视,http://vault.iamued.com:4022/rtp/239.3.1.122:8160
山东卫视,http://vault.iamued.com:4022/rtp/239.3.1.209:8052
黑龙江卫视,http://vault.iamued.com:4022/rtp/239.3.1.133:8016
河北卫视,http://vault.iamued.com:4022/rtp/239.3.1.148:8072
河南卫视,http://vault.iamued.com:4022/rtp/239.3.1.50:8184
辽宁卫视,http://vault.iamued.com:4022/rtp/239.3.1.210:8056
湖北卫视,http://vault.iamued.com:4022/rtp/239.3.1.138:8044
吉林卫视,http://vault.iamued.com:4022/rtp/239.3.1.240:8172
贵州卫视,http://vault.iamued.com:4022/rtp/239.3.1.149:8076
东南卫视,http://vault.iamued.com:4022/rtp/239.3.1.156:8148
江西卫视,http://vault.iamued.com:4022/rtp/239.3.1.123:8164
甘肃卫视,http://vault.iamued.com:4022/rtp/239.3.1.201:8180
海南卫视,http://vault.iamued.com:4022/rtp/239.3.1.45:8304
云南卫视,http://vault.iamued.com:4022/rtp/239.3.1.26:8108
兵团卫视,http://vault.iamued.com:4022/rtp/239.3.1.144:4120
厦门卫视,http://vault.iamued.com:4022/rtp/239.3.1.143:4120
四川卫视,http://vault.iamued.com:4022/rtp/239.3.1.29:8288
宁夏卫视,http://vault.iamued.com:4022/rtp/239.3.1.46:8124
山西卫视,http://vault.iamued.com:4022/rtp/239.3.1.42:8172
广西卫视,http://vault.iamued.com:4022/rtp/239.3.1.39:8300
新疆卫视,http://vault.iamued.com:4022/rtp/239.3.1.48:8160
西藏卫视,http://vault.iamued.com:4022/rtp/239.3.1.47:8164
三沙卫视,http://vault.iamued.com:4022/rtp/239.3.1.155:4120
陕西卫视,http://vault.iamued.com:4022/rtp/239.3.1.41:8140
青海卫视,http://vault.iamued.com:4022/rtp/239.3.1.44:8184
内蒙古卫视,http://vault.iamued.com:4022/rtp/239.3.1.43:8176


